Format;Session;Time (min);Transferred (MB);Resources (MB);Requests;URL
ZERO MINIMAL FRAME;First;1;0,224;0,224;22;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;First;2;0,271;0,269;32;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Second;1;0,222;0,223;22;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Second;2;0,270;0,268;32;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Third;1;0,224;0,224;22;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Third;2;0,271;0,269;32;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Average;1;0,223;0,224;22;https://disnovation.org/slowframe/facefade/
ZERO MINIMAL FRAME;Average;2;0,271;0,269;32;https://disnovation.org/slowframe/facefade/
;;;;;;
ZERO COMPRESSED VIDEO;Constant;;2;2;20;https://disnovation.org/slowframe/video/video3.html
ZERO TEXT-BASED ANIMATION;Constant;;0,419;0,423;13;https://disnovation.org/slowframe/1word/ascii.html
ZERO 3D MODEL;Constant;;0,616;1,3;14;https://disnovation.org/hydra/3D_01.html
ZERO CLOUD CONTOURS;Constant;;0,442;0,630;13;https://juliahah.github.io/d3_clouds/
